trade_date,ts_code,name,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
2025-12-18,002594.SZ,比亚迪,94.39,94.6,93.5,93.53,95.21,-1.68,-1.764521,252797.0,2376126962.27,0.72
2025-12-19,002594.SZ,比亚迪,94.0,95.27,93.73,94.23,93.53,0.7,0.748423,272068.0,2573037717.75,0.78
2025-12-22,002594.SZ,比亚迪,94.7,95.36,94.25,94.37,94.23,0.14,0.148573,206235.0,1952361858.31,0.59
2025-12-23,002594.SZ,比亚迪,94.5,95.5,94.5,94.81,94.37,0.44,0.46625,236617.0,2247679864.35,0.68
2025-12-24,002594.SZ,比亚迪,94.8,94.8,94.05,94.42,94.81,-0.39,-0.411349,192810.0,1819358258.51,0.55
2025-12-25,002594.SZ,比亚迪,94.43,95.23,94.12,94.84,94.42,0.42,0.444821,182202.0,1725723850.6,0.52
2025-12-26,002594.SZ,比亚迪,95.28,101.45,95.25,100.01,94.84,5.17,5.451286,1020959.0,10178557961.83,2.93
2025-12-29,002594.SZ,比亚迪,100.5,101.3,99.6,100.21,100.01,0.2,0.19998,519167.0,5209488142.03,1.49
2025-12-30,002594.SZ,比亚迪,99.26,100.15,98.74,99.75,100.21,-0.46,-0.459036,318756.0,3174697985.99,0.91
2025-12-31,002594.SZ,比亚迪,99.98,100.2,97.38,97.72,99.75,-2.03,-2.035088,402859.0,3955310311.36,1.16
2026-01-05,002594.SZ,比亚迪,98.4,99.48,97.9,98.11,97.72,0.39,0.399099,382625.0,3762797878.26,1.1
2026-01-06,002594.SZ,比亚迪,98.22,100.5,98.12,99.99,98.11,1.88,1.916216,521785.0,5185026166.42,1.5
2026-01-07,002594.SZ,比亚迪,99.96,99.96,97.06,97.6,99.99,-2.39,-2.390239,560849.0,5502570730.88,1.61
2026-01-08,002594.SZ,比亚迪,97.2,97.2,96.33,96.88,97.6,-0.72,-0.737705,300655.0,2908439428.93,0.86
2026-01-09,002594.SZ,比亚迪,97.05,97.95,96.9,97.01,96.88,0.13,0.134187,350341.0,3412630184.79,1.0
2026-01-12,002594.SZ,比亚迪,97.01,98.0,96.3,97.47,97.01,0.46,0.474178,425257.0,4125432529.12,1.22
2026-01-13,002594.SZ,比亚迪,99.0,99.6,96.88,97.19,97.47,-0.28,-0.287268,498723.0,4905229941.76,1.43
2026-01-14,002594.SZ,比亚迪,96.81,97.74,95.51,96.1,97.19,-1.09,-1.121515,514750.0,4975154616.41,1.48
2026-01-15,002594.SZ,比亚迪,96.08,96.64,95.6,95.67,96.1,-0.43,-0.447451,295635.0,2835803089.86,0.85
2026-01-16,002594.SZ,比亚迪,96.7,97.44,95.6,95.86,95.67,0.19,0.198599,384588.0,3705328915.52,1.1
