模型,Accuracy,Precision,Recall,F1-score,AUC,TN,FP,FN,TP
随机森林,0.549587750294464,0.3471363269696155,0.48046148120580573,0.40305963159537933,0.5436628167571911,3375,2428,1396,1291
决策树,0.5239104829210837,0.33075193604796405,0.49274283587644213,0.39581464872944694,0.5162795176525674,3124,2679,1363,1324
逻辑回归,0.4532391048292108,0.31476217547849156,0.618161518422032,0.4171270718232044,0.5031765264440752,2187,3616,1026,1661
