market,code,start_date,end_date,rows,last_close,last_rsi_14,last_macd_dif,last_macd_dea,last_atr_14_pct,last_adx_14,last_bias_12,last_zscore_20,macd_golden_cross_count,macd_death_cross_count,rsi_overbought_days,rsi_oversold_days,bb_upper_break_days,bb_lower_break_days,zscore_extreme_days
A股,688981.SH,2025-07-02,2026-07-02,237,144.1,53.12614130731828,6.512022222202177,5.777187626001261,6.788657775339721,31.901352880536024,-1.6594820232259273,0.4363952310591558,9,8,26,9,18,5,23
港股,00981.HK,2025-07-02,2026-07-02,246,80.4,51.95928647890098,2.546798108345598,2.029643439417957,7.838809103756953,26.042745078613862,-0.02590539350292142,0.37319524562625755,10,10,25,8,24,10,34
