日期,策略,模型,仓位方式,股票代码,上涨概率,权重,原始季度收益,止盈止损后收益,RSI,趋势收益
2022-03-31,全市场等权基准,基准,等权,601869,,0.00023651844843897824,0.1533,0.1533,66.87397109932321,0.15116903711758023
2022-03-31,全市场等权基准,基准,等权,601872,,0.00023651844843897824,0.2203,0.2,62.670537010159656,0.10934780206922246
2022-03-31,全市场等权基准,基准,等权,601877,,0.00023651844843897824,-0.096,-0.096,64.34262948207171,0.10007373460041169
2022-03-31,全市场等权基准,基准,等权,601878,,0.00023651844843897824,0.0828,0.0828,26.623756582796958,-0.1708203012508972
2022-03-31,全市场等权基准,基准,等权,601880,,0.00023651844843897824,-0.0116,-0.0116,47.52970606629143,-0.012186087729903927
2022-03-31,全市场等权基准,基准,等权,601881,,0.00023651844843897824,-0.0281,-0.0281,48.02110817941953,-0.01851821993976377
2022-03-31,全市场等权基准,基准,等权,601882,,0.00023651844843897824,0.1364,0.1364,73.53185308155219,0.35649756666869137
2022-03-31,全市场等权基准,基准,等权,601886,,0.00023651844843897824,0.3276,0.2,35.45930509281294,-0.14156605959232005
2022-03-31,全市场等权基准,基准,等权,601888,,0.00023651844843897824,0.4171,0.2,0.0,-0.46121946280673687
2022-03-31,全市场等权基准,基准,等权,601890,,0.00023651844843897824,0.0444,0.0444,76.13257033857893,0.42252237697507544
2022-03-31,全市场等权基准,基准,等权,601898,,0.00023651844843897824,0.2831,0.2,70.74797062234248,0.34002784863155644
2022-03-31,全市场等权基准,基准,等权,601899,,0.00023651844843897824,-0.1596,-0.1,85.60267857142857,0.19285159835391852
2022-03-31,全市场等权基准,基准,等权,601900,,0.00023651844843897824,-0.0613,-0.0613,75.14792899408283,0.12532146476863404
2022-03-31,全市场等权基准,基准,等权,601901,,0.00023651844843897824,-0.0045,-0.0045,19.827586206896555,-0.22433589852199987
2022-03-31,全市场等权基准,基准,等权,601908,,0.00023651844843897824,0.1032,0.1032,46.64755732801595,-0.13043373906241618
2022-03-31,全市场等权基准,基准,等权,601916,,0.00023651844843897824,0.0,0.0,0.0,-0.14725841598701916
2022-03-31,全市场等权基准,基准,等权,601918,,0.00023651844843897824,-0.1282,-0.1,80.93666026871401,0.8330293110922189
2022-03-31,全市场等权基准,基准,等权,601919,,0.00023651844843897824,-0.0471,-0.0471,75.49560711872044,0.4904488283240189
2022-03-31,全市场等权基准,基准,等权,601921,,0.00023651844843897824,-0.0182,-0.0182,13.466183574879224,
2022-03-31,全市场等权基准,基准,等权,601928,,0.00023651844843897824,-0.0604,-0.0604,81.50919862800124,0.20779095965098393
2022-03-31,全市场等权基准,基准,等权,601929,,0.00023651844843897824,-0.1009,-0.1,100.0,0.26102107566557353
2022-03-31,全市场等权基准,基准,等权,601933,,0.00023651844843897824,0.019,0.019,13.760292772186645,-0.3761088512484161
2022-03-31,全市场等权基准,基准,等权,601939,,0.00023651844843897824,-0.0366,-0.0366,30.557868442964192,-0.09737578179619844
2022-03-31,全市场等权基准,基准,等权,601949,,0.00023651844843897824,-0.0474,-0.0474,15.4010073614878,-0.3272073448646079
2022-03-31,全市场等权基准,基准,等权,601952,,0.00023651844843897824,0.0135,0.0135,90.21541655852582,0.32632821967882886
