策略,初始资金,期末资金,累计收益率,年化收益率,年化波动率,夏普比率,最大回撤,胜率,盈亏比,最佳季度收益,最差季度收益,平均季度收益,季度收益标准差,平均换手率,总交易成本,持仓季度数
随机森林-等权,100000.0,133311.0965368,0.333110965368,0.46719690064905706,0.08231519368325092,5.432738242345294,0.0,1.0,,0.13353333333333334,0.05479999999999999,0.10110000000000001,0.04115759684162546,1.6666666666666667,406.82278233333335,3
随机森林-概率加权,100000.0,132962.28530164046,0.3296228530164045,0.46208053281158357,0.08075485138145375,5.474352627105599,0.0,1.0,,0.1304047200878931,0.05427857123591624,0.10012065311041284,0.04037742569072687,1.6666666666666667,406.5270650636601,3
逻辑回归-概率加权,100000.0,117156.555428346,0.17156555428346,0.23506209308258086,0.10225902847960562,2.1031110531768107,0.0,1.0,,0.10514865838953452,0.0029458700149733535,0.05502616469334329,0.05112951423980281,1.4088830559343606,317.74403807924193,3
逻辑回归-等权,100000.0,115150.92624533332,0.15150926245333318,0.20695176518028302,0.10721593994261198,1.7436937574799993,-0.007233333333333314,0.6666666666666666,10.675115207373272,0.0995,-0.007233333333333333,0.04906666666666667,0.05360796997130599,1.4444444444444444,324.07969499999996,3
随机选3只基准,100000.0,111515.68377807409,0.11515683778074082,0.1564173589846416,0.19124910263648104,0.7132967271691648,0.0,0.6666666666666666,1.6894039735099338,0.14013333333333333,-0.050333333333333334,0.03991111111111111,0.09562455131824052,1.6666666666666667,354.8619933333334,3
决策树-概率加权,100000.0,100924.496508,0.009244965079999945,0.012345574431327888,0.0937961619683876,-0.0816070232303525,-0.04079999999999995,0.3333333333333333,2.552058111380145,0.0527,-0.0408,0.003799999999999998,0.0468980809841938,1.6666666666666667,357.7510475,3
决策树-等权,100000.0,100924.496508,0.009244965079999945,0.012345574431327888,0.0937961619683876,-0.0816070232303525,-0.04079999999999995,0.3333333333333333,2.552058111380145,0.0527,-0.0408,0.003799999999999998,0.0468980809841938,1.6666666666666667,357.7510475,3
全市场等权基准,100000.0,92231.38373706238,-0.07768616262937622,-0.10221647300027858,0.06484149649029686,-1.8848496659630234,-0.05034840450492728,0.3333333333333333,0.2376778067236792,0.010616887417218543,-0.050348404504927266,-0.02624053205583581,0.03242074824514843,0.35108564668575987,53.857206243661274,3
