模型,特征,重要性或系数,类型
决策树,现金净流量同比增长率_截面分位,0.0075039712826573245,特征重要性
决策树,经营活动产生的现金流量净额(同比增长率)_截面分位,0.007361409087932109,特征重要性
决策树,营业利润(同比增长率)_截面分位,0.018816690100765473,特征重要性
决策树,营业总收入(同比增长率)_截面分位,0.01238571862274721,特征重要性
决策树,营业收入(同比增长率)_截面分位,0.006303960141495325,特征重要性
决策树,ret_lag_1q,0.1001466325119324,特征重要性
决策树,ret_mean_4q,0.030281939505422434,特征重要性
决策树,ret_vol_4q,0.020726153409214406,特征重要性
决策树,ret_cum_4q,0.025676453867535937,特征重要性
决策树,RSI,0.09280660191019117,特征重要性
决策树,trend_return,0.06787064370294559,特征重要性
随机森林,企业倍数(EV除EBITDA),0.02100223058394996,特征重要性
随机森林,市净率PB(MRQ),0.029827984396420627,特征重要性
随机森林,市现率PCF(现金净流量TTM),0.012776758006410345,特征重要性
随机森林,市现率PCF(经营现金流TTM),0.013005099338500642,特征重要性
随机森林,市盈率PE(TTM),0.0151580053057384,特征重要性
随机森林,"市盈率PE(TTM,扣除非经常性损益)",0.014916046359096184,特征重要性
随机森林,市销率PS(TTM),0.01811122576319146,特征重要性
随机森林,股息率(近12个月),0.013992271340597537,特征重要性
随机森林,MV,0.02244635608605713,特征重要性
随机森林,净利润同比增长率,0.022508228390554996,特征重要性
随机森林,净资产同比增长率,0.018491179762787007,特征重要性
随机森林,利润总额(同比增长率),0.02265022789553369,特征重要性
随机森林,基本每股收益(同比增长率),0.026329497132766937,特征重要性
随机森林,总资产同比增长率,0.014720215333552078,特征重要性
随机森林,现金净流量同比增长率,0.015234518142244736,特征重要性
随机森林,经营活动产生的现金流量净额(同比增长率),0.013259228442346623,特征重要性
随机森林,营业利润(同比增长率),0.020824318464442278,特征重要性
随机森林,营业总收入(同比增长率),0.016772296149805598,特征重要性
随机森林,营业收入(同比增长率),0.017197910563901842,特征重要性
随机森林,log_mv,0.023880824086859855,特征重要性
随机森林,企业倍数(EV除EBITDA)_截面分位,0.020018743300992035,特征重要性
随机森林,市净率PB(MRQ)_截面分位,0.023169425969571236,特征重要性
随机森林,市现率PCF(现金净流量TTM)_截面分位,0.012559055024685888,特征重要性
随机森林,市现率PCF(经营现金流TTM)_截面分位,0.013847441259084483,特征重要性
随机森林,市盈率PE(TTM)_截面分位,0.01573326648931599,特征重要性
随机森林,"市盈率PE(TTM,扣除非经常性损益)_截面分位",0.015585183479181865,特征重要性
随机森林,市销率PS(TTM)_截面分位,0.01658508427096379,特征重要性
随机森林,股息率(近12个月)_截面分位,0.014282327585661931,特征重要性
随机森林,MV_截面分位,0.022092172296578224,特征重要性
随机森林,净利润同比增长率_截面分位,0.033418934275694444,特征重要性
随机森林,净资产同比增长率_截面分位,0.015812734234261366,特征重要性
随机森林,利润总额(同比增长率)_截面分位,0.028347288492803813,特征重要性
随机森林,基本每股收益(同比增长率)_截面分位,0.038552339200286785,特征重要性
随机森林,总资产同比增长率_截面分位,0.014197347448371369,特征重要性
随机森林,现金净流量同比增长率_截面分位,0.013245849131869956,特征重要性
