模型,Accuracy,Precision,Recall,F1-score,AUC,TN,FP,FN,TP,训练样本数,测试样本数
逻辑回归,0.5561873173813472,0.36690848214285715,0.7085129310344828,0.4834558823529412,0.6389584493063768,4413,4538,1082,2630,26953,12663
决策树,0.5067519545131486,0.3285520974289581,0.6540948275862069,0.43739866690686363,0.5620971842868645,3989,4962,1284,2428,26953,12663
随机森林,0.546947800679144,0.35238372940661905,0.6511314655172413,0.4572888090057705,0.6052020772096356,4509,4442,1295,2417,26953,12663
