模型,参数,默认值
逻辑回归,正则化方式,elasticnet
逻辑回归,L1 比例,0.5
逻辑回归,正则化强度 C,1.0
逻辑回归,求解器,saga
逻辑回归,最大迭代次数,5000
逻辑回归,收敛阈值,0.0001
逻辑回归,类别权重,balanced
逻辑回归,是否标准化,是
决策树,划分标准,gini
决策树,划分策略,best
决策树,最大深度,10
决策树,内部节点再划分最小样本数,2
决策树,叶子节点最小样本数,20
决策树,最大特征数,
决策树,类别权重,balanced
决策树,是否标准化,否
随机森林,树数量,100
随机森林,划分标准,gini
随机森林,最大深度,10
随机森林,内部节点再划分最小样本数,2
随机森林,叶子节点最小样本数,10
随机森林,最大特征数,sqrt
随机森林,是否 Bootstrap 抽样,是
随机森林,类别权重,balanced
随机森林,是否标准化,否
随机森林,并行任务数,-1
